W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
4.0,0.0,17.0,12.0,0.19,6.0,,,14 (L),Magpies United,10,21,14,,,,,,,,
16.0,0.0,6.0,48.0,0.727,9.0,,,3 (W),Cheasle FC,1,22,14,,,,,,,,
16.0,0.0,6.0,48.0,0.727,10.0,,,6 (W),TAAco Bell,2,22,14,,,,,,,,
13.0,0.0,9.0,39.0,0.591,8.0,,,3 (L),HappyHaalandays,3,22,14,,,,,,,,
13.0,0.0,9.0,39.0,0.591,3.0,,,2 (W),Thottenham Hotsluts,4,22,14,,,,,,,,
11.0,0.0,11.0,33.0,0.5,1.0,,,2 (L),New Zac on the Block,5,22,14,,,,,,,,
11.0,0.0,11.0,33.0,0.5,2.0,,,1 (W),RATABE,6,22,14,,,,,,,,
11.0,0.0,11.0,33.0,0.5,5.0,,,1 (L),Benford FC,7,22,14,,,,,,,,
8.0,0.0,14.0,24.0,0.364,7.0,,,2 (W),Concept of a FPLan,8,22,14,,,,,,,,
7.0,0.0,15.0,21.0,0.318,4.0,,,3 (L),Seanhampton,9,22,14,,,,,,,,
4.0,0.0,18.0,12.0,0.182,6.0,,,15 (L),Magpies United,10,22,14,,,,,,,,
17.0,0.0,6.0,51.0,0.739,9.0,,,4 (W),Cheasle FC,1,23,14,,,,,,,,
17.0,0.0,6.0,51.0,0.739,10.0,,,7 (W),TAAco Bell,2,23,14,,,,,,,,
13.0,0.0,10.0,39.0,0.565,8.0,,,4 (L),HappyHaalandays,3,23,14,,,,,,,,
13.0,0.0,10.0,39.0,0.565,3.0,,,1 (L),Thottenham Hotsluts,4,23,14,,,,,,,,
12.0,0.0,11.0,36.0,0.522,1.0,,,1 (W),New Zac on the Block,5,23,14,,,,,,,,
12.0,0.0,11.0,36.0,0.522,2.0,,,2 (W),RATABE,6,23,14,,,,,,,,
11.0,0.0,12.0,33.0,0.478,5.0,,,2 (L),Benford FC,7,23,14,,,,,,,,
9.0,0.0,14.0,27.0,0.391,7.0,,,3 (W),Concept of a FPLan,8,23,14,,,,,,,,
7.0,0.0,16.0,21.0,0.304,4.0,,,4 (L),Seanhampton,9,23,14,,,,,,,,
4.0,0.0,19.0,12.0,0.174,6.0,,,16 (L),Magpies United,10,23,14,,,,,,,,
